Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SwiftRadio application,,,,2021-09-10 15:09:03,2021-09-10 15:13:56,4m - 53.339s,PASSED
,,,,,,,
Test Cases/All test cases/Wait for element present - SwiftRadio,,Source code of SwiftRadio apps: https://github.com/analogcode/Swift-Radio-Pro,,2021-09-10 15:11:26,2021-09-10 15:12:53,1m - 27.593s,PASSED
"tap(findTestObject(""Object Repository/SwiftRadioApps/Wait for element present/XCUIElementTypeStaticText - Radio 1190""), 0)",,,,2021-09-10 15:11:26,2021-09-10 15:11:27,1.346s,PASSED
"elem = findTestObject(""Object Repository/SwiftRadioApps/Wait for element present/XCUIElementTypeStaticText - Error Playing"")",,,,2021-09-10 15:11:27,2021-09-10 15:11:28,0.235s,PASSED
"waitForElementPresent(elem, 120)",,,,2021-09-10 15:11:28,2021-09-10 15:12:44,1m - 16.371s,PASSED
"verifyElementVisible(elem, 0)",,,,2021-09-10 15:12:44,2021-09-10 15:12:45,0.956s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:12:45,2021-09-10 15:12:53,8.366s,PASSED
,,,,,,,
Test Cases/All test cases/Tap on image - SwiftRadio,,https://github.com/analogcode/Swift-Radio-Pro,,2021-09-10 15:12:53,2021-09-10 15:13:05,11.215s,PASSED
imageFullPath = currentProjDir + imageShortPath,,,,2021-09-10 15:12:54,2021-09-10 15:12:54,0.001s,PASSED
settings = getDriver(),,,,2021-09-10 15:12:54,2021-09-10 15:12:54,0.001s,PASSED
"settings.setSetting(IMAGE_MATCH_THRESHOLD, 0.2)",,,,2021-09-10 15:12:54,2021-09-10 15:12:54,0.042s,PASSED
tapOnImage(imageFullPath),,,,2021-09-10 15:12:54,2021-09-10 15:12:57,2.980s,PASSED
"verifyElementExist(findTestObject(""SwiftRadioApps/Tap on image/XCUIElementTypeButton - btn play""), 3)",,,,2021-09-10 15:12:57,2021-09-10 15:12:58,1.333s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:12:58,2021-09-10 15:13:05,6.121s,PASSED
,,,,,,,
Test Cases/All test cases/Wait for element not has attribute - SwiftRadio,,Source code of SwiftRadio apps: https://github.com/analogcode/Swift-Radio-Pro,,2021-09-10 15:13:05,2021-09-10 15:13:14,8.982s,PASSED
"tap(findTestObject(""Object Repository/SwiftRadioApps/Wait for element present/XCUIElementTypeStaticText - Radio 1190""), 0)",,,,2021-09-10 15:13:05,2021-09-10 15:13:07,1.622s,PASSED
"elem = findTestObject(""Object Repository/SwiftRadioApps/Wait for element present/XCUIElementTypeStaticText - Error Playing"")",,,,2021-09-10 15:13:07,2021-09-10 15:13:07,0.123s,PASSED
"Result = waitForElementNotHasAttribute(elem, ""class"", 20)",,,,2021-09-10 15:13:07,2021-09-10 15:13:08,0.857s,PASSED
"verifyEqual(Result, false, STOP_ON_FAILURE)",,,,2021-09-10 15:13:08,2021-09-10 15:13:08,0.067s,PASSED
