Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/All test cases/Open notification - GradeCalc,,Source code of GradeCalc apps: https://github.com/marlon360/grade-calc,,2021-09-10 15:31:55,2021-09-10 15:32:02,7.084s,PASSED
openNotifications(),,,,2021-09-10 15:31:56,2021-09-10 15:31:56,0.856s,PASSED
if (!(isSimulator)),,,,2021-09-10 15:31:56,2021-09-10 15:31:56,0.001s,PASSED
closeNotifications(),,,,2021-09-10 15:31:56,2021-09-10 15:31:57,0.900s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:31:57,2021-09-10 15:32:02,5.073s,PASSED
,,,,,,,
Test Cases/All test cases/Close notification - GradeCalc,,Source code of GrageCalc apps: https://github.com/marlon360/grade-calc,,2021-09-10 15:32:02,2021-09-10 15:32:11,8.762s,PASSED
openNotifications(),,,,2021-09-10 15:32:03,2021-09-10 15:32:04,0.840s,PASSED
if (!(isIpadSimulator)),,,,2021-09-10 15:32:04,2021-09-10 15:32:05,1.029s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/CradeCalcApps/XCUIElementTypeStaticText - Your GPA""), 3)",,,,2021-09-10 15:32:05,2021-09-10 15:32:06,1.297s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:32:06,2021-09-10 15:32:11,5.096s,PASSED
,,,,,,,
Test Cases/All test cases/Scroll to text - GradeCalc,,Source code of GradeCalc apps: https://github.com/marlon360/grade-calc,,2021-09-10 15:32:11,2021-09-10 15:32:22,10.748s,PASSED
"scrollToText(""Test 6"")",,,,2021-09-10 15:32:12,2021-09-10 15:32:16,4.376s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/CradeCalcApps/scroll to text/XCUIElementTypeButton - Test 6, 1.00""), 0)",,,,2021-09-10 15:32:16,2021-09-10 15:32:17,1.103s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:32:17,2021-09-10 15:32:22,4.911s,PASSED
,,,,,,,
Test Cases/All test cases/Swipe - GradeCalc,,Source code of GradeCalc apps: https://github.com/marlon360/grade-calc,,2021-09-10 15:32:22,2021-09-10 15:32:30,8.207s,PASSED
"swipe(150, 400, 50, 400)",,,,2021-09-10 15:32:22,2021-09-10 15:32:24,1.876s,PASSED
"txtDelete = getText(findTestObject(""Object Repository/CradeCalcApps/swipe/XCUIElementTypeStaticText - Delete""), 0)",,,,2021-09-10 15:32:24,2021-09-10 15:32:25,0.964s,PASSED
"verifyMatch(txtDelete, ""Delete"", false)",,,,2021-09-10 15:32:25,2021-09-10 15:32:25,0.004s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:32:25,2021-09-10 15:32:30,5.029s,PASSED
