Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GradeCalc application,,,,2021-09-10 15:29:22,2021-09-10 15:32:30,3m - 7.977s,PASSED
,,,,,,,
Test Cases/All test cases/Tap and hold - GradCalc,,Source code of GradeCalc apps: https://github.com/marlon360/grade-calc,,2021-09-10 15:31:09,2021-09-10 15:31:21,11.363s,PASSED
"tapAndHold(findTestObject(""Object Repository/CradeCalcApps/XCUIElementTypeButton - add""), 0, 0)",,,,2021-09-10 15:31:10,2021-09-10 15:31:12,2.162s,PASSED
"verifyElementExist(findTestObject(""Object Repository/CradeCalcApps/XCUIElementTypeButton - Save""), 0)",,,,2021-09-10 15:31:12,2021-09-10 15:31:15,3.174s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:31:15,2021-09-10 15:31:21,5.637s,PASSED
,,,,,,,
Test Cases/All test cases/Set encrypted text - GradeCalc,,Source code of GradeCalc apps: https://github.com/marlon360/grade-calc,,2021-09-10 15:31:21,2021-09-10 15:31:34,13.131s,PASSED
"tapAndHold(findTestObject(""Object Repository/CradeCalcApps/XCUIElementTypeButton - add""), 0, 0)",,,,2021-09-10 15:31:21,2021-09-10 15:31:23,2.010s,PASSED
"text = ""QA katalon""",,,,2021-09-10 15:31:23,2021-09-10 15:31:23,0.001s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CradeCalcApps/XCUIElementTypeTextField - Title""), ""D4BYJaDQ12bjjzKZGpBQ2w=="", 0)",,,,2021-09-10 15:31:23,2021-09-10 15:31:27,3.789s,PASSED
"expectedText = getText(findTestObject(""Object Repository/CradeCalcApps/XCUIElementTypeTextField - Title""), 0)",,,,2021-09-10 15:31:27,2021-09-10 15:31:29,1.433s,PASSED
"verifyMatch(expectedText, text, false)",,,,2021-09-10 15:31:29,2021-09-10 15:31:29,0.027s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:31:29,2021-09-10 15:31:34,5.225s,PASSED
,,,,,,,
Test Cases/All test cases/Hide keyboard - GradeCalc,,Source code of GradeCalc apps: https://github.com/marlon360/grade-calc,,2021-09-10 15:31:34,2021-09-10 15:31:43,9.257s,PASSED
"tapAndHold(findTestObject(""Object Repository/CradeCalcApps/XCUIElementTypeButton - add""), 0, 0)",,,,2021-09-10 15:31:34,2021-09-10 15:31:36,1.710s,PASSED
"tap(findTestObject(""Object Repository/CradeCalcApps/XCUIElementTypeTextField - Title""), 0)",,,,2021-09-10 15:31:36,2021-09-10 15:31:38,1.938s,PASSED
if (isIpadSimulator),,,,2021-09-10 15:31:38,2021-09-10 15:31:38,0.001s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:31:38,2021-09-10 15:31:43,5.329s,PASSED
,,,,,,,
Test Cases/All test cases/Tap and hold at position - GradCalc,,Source code of GradeCalc apps: https://github.com/marlon360/grade-calc,,2021-09-10 15:31:43,2021-09-10 15:31:55,12.126s,PASSED
"elem = findTestObject(""Object Repository/CradeCalcApps/XCUIElementTypeButton - add"")",,,,2021-09-10 15:31:44,2021-09-10 15:31:44,0.039s,PASSED
"x = getElementLeftPosition(elem, 0) + 30",,,,2021-09-10 15:31:44,2021-09-10 15:31:45,0.930s,PASSED
"y = getElementTopPosition(elem, 0) + 30",,,,2021-09-10 15:31:45,2021-09-10 15:31:45,0.898s,PASSED
"tapAndHoldAtPosition(x, y, 2)",,,,2021-09-10 15:31:45,2021-09-10 15:31:48,2.332s,PASSED
"verifyElementExist(findTestObject(""Object Repository/CradeCalcApps/XCUIElementTypeButton - Save""), 3)",,,,2021-09-10 15:31:48,2021-09-10 15:31:50,2.497s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:31:50,2021-09-10 15:31:55,5.018s,PASSED
,,,,,,,
