Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DragAndDrop application,,,,2021-09-10 15:45:15,2021-09-10 15:53:23,8m - 8.488s,FAILED
,,,,,,,
Test Cases/All test cases/Start Exsting Application,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 15:45:38,2021-09-10 15:46:00,22.797s,PASSED
pressHome(),,,,2021-09-10 15:45:38,2021-09-10 15:45:38,0.216s,PASSED
startExistingApplication(dragAndDropAppsBundleId),,,,2021-09-10 15:45:38,2021-09-10 15:45:54,15.691s,PASSED
"verifyElementExist(findTestObject(""DragAndDropApps/Clear text/XCUIElementTypeStaticText - Add""), 0)",,,,2021-09-10 15:45:54,2021-09-10 15:45:55,1.507s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:45:55,2021-09-10 15:46:00,5.043s,PASSED
,,,,,,,
Test Cases/All test cases/Tap at position,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 15:46:00,2021-09-10 15:46:12,11.684s,PASSED
"elem = findTestObject(""DragAndDropApps/Clear text/XCUIElementTypeStaticText - Add"")",,The iOS apps is started from setupTestCase(),,2021-09-10 15:46:01,2021-09-10 15:46:01,0.046s,PASSED
"x = getElementLeftPosition(elem, 5) + 3",,,,2021-09-10 15:46:01,2021-09-10 15:46:02,1.324s,PASSED
"y = getElementTopPosition(elem, 5) - 3",,,,2021-09-10 15:46:02,2021-09-10 15:46:03,1.284s,PASSED
"tapAtPosition(x, y)",,,,2021-09-10 15:46:03,2021-09-10 15:46:04,0.593s,PASSED
"lblAddItem = findTestObject(""DragAndDropApps/Tap/XCUIElementTypeStaticText - Add Item"")",,,,2021-09-10 15:46:04,2021-09-10 15:46:04,0.211s,PASSED
"verifyElementExist(lblAddItem, 0)",,,,2021-09-10 15:46:04,2021-09-10 15:46:07,2.984s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:46:07,2021-09-10 15:46:12,4.956s,PASSED
,,,,,,,
Test Cases/All test cases/Get device OS,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 15:46:12,2021-09-10 15:46:18,5.474s,PASSED
deviceOS = getDeviceOS(),,The iOS apps is started from setupTestCase(),,2021-09-10 15:46:12,2021-09-10 15:46:12,0.010s,PASSED
"verifyMatch(deviceOS, ""iOS"", false)",,,,2021-09-10 15:46:12,2021-09-10 15:46:12,0.020s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:46:12,2021-09-10 15:46:18,5.213s,PASSED
,,,,,,,
Test Cases/All test cases/Get device height,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 15:46:18,2021-09-10 15:46:23,5.611s,PASSED
deviceHeight = getDeviceHeight(),,The iOS apps is started from setupTestCase(),,2021-09-10 15:46:18,2021-09-10 15:46:18,0.236s,PASSED
"verifyMatch(deviceHeight, dragAndDropAppsDeviceHeight, false)",,,,2021-09-10 15:46:18,2021-09-10 15:46:18,0.002s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:46:18,2021-09-10 15:46:23,5.048s,PASSED
,,,,,,,
Test Cases/All test cases/Get current orientation,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 15:46:23,2021-09-10 15:46:29,5.396s,PASSED
orientation = getCurrentOrientation(),,The iOS apps is started from setupTestCase(),,2021-09-10 15:46:24,2021-09-10 15:46:24,0.145s,PASSED
"verifyMatch(orientation, ""portrait"", false)",,,,2021-09-10 15:46:24,2021-09-10 15:46:24,0.002s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:46:24,2021-09-10 15:46:29,4.927s,PASSED
,,,,,,,
Test Cases/All test cases/Take screenshot,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 15:46:29,2021-09-10 15:46:35,5.897s,PASSED
"uniqueString = toString().substring(0, 3)",,The iOS apps is started from setupTestCase(),,2021-09-10 15:46:29,2021-09-10 15:46:29,0.010s,PASSED
"expectedFilename = currentProjDir + ""/Screenshots/Appiumdriver/driver"" + uniqueString + "".png""",,take screenshot by appium driver and put the screenshot to /Screenshots/Appiumdriver,,2021-09-10 15:46:29,2021-09-10 15:46:29,0.000s,PASSED
"webdriver.screenshot.TakeScreenshot.takeScreenshot(expectedFilename, STOP_ON_FAILURE)",,,,2021-09-10 15:46:29,2021-09-10 15:46:29,0.237s,PASSED
"takeScreenshot(""Screenshots/Katalon/katalon"" + uniqueString + "".png"")",,take screenshot by Katalon keyword and put the screenshot to /Screenshots/Katalon,,2021-09-10 15:46:29,2021-09-10 15:46:29,0.306s,PASSED
"actualFilename = currentProjDir + ""/Screenshots/Katalon/katalon"" + uniqueString + "".png""",,Compare two images taken by appium driver and katalon keyword,,2021-09-10 15:46:29,2021-09-10 15:46:29,0.000s,PASSED
"katalon.verifyImage.ImageComparison.areMatched(expectedFilename, actualFilename, CONTINUE_ON_FAILURE)",,,,2021-09-10 15:46:29,2021-09-10 15:46:30,0.165s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:46:30,2021-09-10 15:46:35,4.906s,PASSED
,,,,,,,
Test Cases/All test cases/Verify element attribute,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 15:46:35,2021-09-10 15:46:43,8.301s,PASSED
"btnAdd = findTestObject(""DragAndDropApps/Clear text/XCUIElementTypeStaticText - Add"")",,The iOS apps is started from setupTestCase(),,2021-09-10 15:46:35,2021-09-10 15:46:35,0.037s,PASSED
try,,,,2021-09-10 15:46:35,2021-09-10 15:46:36,1.283s,PASSED
try,,,,2021-09-10 15:46:36,2021-09-10 15:46:38,1.718s,FAILED
catch (Exception e),,,,2021-09-10 15:46:38,2021-09-10 15:46:38,0.002s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:46:38,2021-09-10 15:46:43,5.012s,PASSED
,,,,,,,
Test Cases/All test cases/Run iOS app in background and wait,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 15:46:43,2021-09-10 15:46:56,13.540s,PASSED
runIOSAppInBackgroundAndWait(7),,,,2021-09-10 15:46:43,2021-09-10 15:46:52,8.313s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:46:52,2021-09-10 15:46:56,4.862s,PASSED
,,,,,,,
Test Cases/All test cases/Get element left position,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 15:46:56,2021-09-10 15:47:03,6.570s,PASSED
"elemLeftPos = getElementLeftPosition(findTestObject(""DragAndDropApps/Drad and drop/XCUIElementTypeStaticText - Database Migration""), 5)",,The iOS apps is started from setupTestCase(),,2021-09-10 15:46:57,2021-09-10 15:46:58,1.216s,PASSED
"verifyMatch(elemLeftPos, ""32"", false)",,,,2021-09-10 15:46:58,2021-09-10 15:46:58,0.001s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:46:58,2021-09-10 15:47:03,4.976s,PASSED
,,,,,,,
Test Cases/All test cases/Switch to portrait,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 15:47:03,2021-09-10 15:47:10,7.154s,PASSED
switchToLandscape(),,The iOS apps is started from setupTestCase(),,2021-09-10 15:47:03,2021-09-10 15:47:04,0.823s,PASSED
switchToPortrait(),,,,2021-09-10 15:47:04,2021-09-10 15:47:05,0.720s,PASSED
verifyIsPortrait(STOP_ON_FAILURE),,,,2021-09-10 15:47:05,2021-09-10 15:47:05,0.070s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:47:05,2021-09-10 15:47:10,5.324s,PASSED
,,,,,,,
Test Cases/All test cases/Verify is portrait,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 15:47:10,2021-09-10 15:47:18,8.004s,PASSED
try,,The iOS apps is started from setupTestCase(),,2021-09-10 15:47:11,2021-09-10 15:47:11,0.225s,PASSED
switchToLandscape(),,,,2021-09-10 15:47:11,2021-09-10 15:47:12,0.871s,PASSED
try,,,,2021-09-10 15:47:12,2021-09-10 15:47:12,0.613s,FAILED
catch (Exception e),,,,2021-09-10 15:47:12,2021-09-10 15:47:12,0.001s,PASSED
switchToPortrait(),,,,2021-09-10 15:47:12,2021-09-10 15:47:13,0.698s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:47:13,2021-09-10 15:47:18,4.999s,PASSED
,,,,,,,
Test Cases/All test cases/Get attributes,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 15:47:18,2021-09-10 15:47:25,6.441s,PASSED
"label = getAttribute(findTestObject(""DragAndDropApps/Drad and drop/XCUIElementTypeStaticText - first item by Xpath""), ""label"", 0)",,The iOS apps is started from setupTestCase(),,2021-09-10 15:47:18,2021-09-10 15:47:19,0.800s,PASSED
"verifyMatch(label, ""Database Migration"", false)",,,,2021-09-10 15:47:19,2021-09-10 15:47:19,0.002s,PASSED
Start tear down : tearDownTestCase,,,,2021-09-10 15:47:19,2021-09-10 15:47:25,5.318s,PASSED
,,,,,,,
Test Cases/All test cases/Press Home,,Source code of DragAndDrop apps: https://github.com/alfianlosari/KanbanDragDropiOS,,2021-09-10 15:47:25,2021-09-10 15:48:03,38.889s,PASSED
"tap(findTestObject(""DragAndDropApps/Clear text/XCUIElementTypeStaticText - Add""), 0)",,The iOS apps is started from setupTestCase(),,2021-09-10 15:47:25,2021-09-10 15:47:27,2.085s,PASSED
pressHome(),,,,2021-09-10 15:47:27,2021-09-10 15:47:27,0.312s,PASSED
"lblAddItem = findTestObject(""DragAndDropApps/Tap/XCUIElementTypeStaticText - Add Item"")",,,,2021-09-10 15:47:27,2021-09-10 15:47:28,0.562s,PASSED
"verifyElementNotExist(lblAddItem, 0)",,,,2021-09-10 15:47:28,2021-09-10 15:47:58,30.301s,PASSED
